nombre_ies;codigo_ies;codigo_sede;nombre_sede;region_sede;provincia_sede;comuna_sede;n_sedes
UNIVERSIDAD TECNOLOGICA METROPOLITANA;85;3;SEDE PROVIDENCIA;REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;3
UNIVERSIDAD TECNOLOGICA METROPOLITANA;85;4;SEDE MACUL;REGION METROPOLITANA;SANTIAGO;ÑUÑOA;3
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;86;1;CASA CENTRAL;REGION METROPOLITANA;SANTIAGO;SANTIAGO;5
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;86;2;SEDE VILLARRICA;REGION DE LA ARAUCANIA;CAUTIN;VILLARRICA;5
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;86;3;CAMPUS ORIENTE;REGION METROPOLITANA;SANTIAGO;ÑUÑOA;5
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;86;4;SEDE LO CONTADOR;REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;5
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;86;5;CAMPUS SAN JOAQUIN;REGION METROPOLITANA;SANTIAGO;MACUL;5
UNIVERSIDAD DE CONCEPCION;87;1;CASA CENTRAL;REGION DEL BIOBIO;CONCEPCION;CONCEPCION;3
UNIVERSIDAD DE CONCEPCION;87;2;SEDE CHILLAN;REGION DE ÑUBLE;DIGUILLIN;CHILLAN;3
UNIVERSIDAD DE CONCEPCION;87;3;SEDE LOS ANGELES;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;3
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;88;1;CAMPUS CASA CENTRAL VALPARAISO;REGION DE VALPARAISO;VALPARAISO;VALPARAISO;5
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;88;2;SEDE VIÑA DEL MAR - JOSE MIGUEL CARRERA;REGION DE VALPARAISO;VALPARAISO;VIÑA DEL MAR;5
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;88;3;SEDE CONCEPCION - REY BALDUINO DE BELGICA;REGION DEL BIOBIO;CONCEPCION;HUALPEN;5
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;88;4;CAMPUS SANTIAGO VITACURA;REGION METROPOLITANA;SANTIAGO;VITACURA;5
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;88;6;CAMPUS SANTIAGO SAN JOAQUIN;REGION METROPOLITANA;SANTIAGO;SAN JOAQUIN;5
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;89;1;CASA CENTRAL;REGION DE VALPARAISO;VALPARAISO;VALPARAISO;6
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;89;2;SANTIAGO;REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;6
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;89;3;VIÑA DEL MAR;REGION DE VALPARAISO;VALPARAISO;VIÑA DEL MAR;6
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;89;4;QUILPUE;REGION DE VALPARAISO;MARGA MARGA;QUILPUE;6
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;89;5;QUILLOTA;REGION DE VALPARAISO;QUILLOTA;QUILLOTA;6
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;89;6;PUNTA ARENAS;REGION DE MAGALLANES Y DE LA ANTARTICA CHILENA;MAGALLANES;PUNTA ARENAS;6
UNIVERSIDAD AUSTRAL DE CHILE;90;1;CASA CENTRAL;REGION DE LOS RIOS;VALDIVIA;VALDIVIA;3
UNIVERSIDAD AUSTRAL DE CHILE;90;2;SEDE PUERTO MONTT;REGION DE LOS LAGOS;LLANQUIHUE;PUERTO MONTT;3
UNIVERSIDAD AUSTRAL DE CHILE;90;4;SEDE COYHAIQUE;REGION DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;COYHAIQUE;COYHAIQUE;3
UNIVERSIDAD CATOLICA DEL NORTE;91;1;CASA CENTRAL;REGION DE ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;2
UNIVERSIDAD CATOLICA DEL NORTE;91;2;SEDE COQUIMBO;REGION DE COQUIMBO;ELQUI;COQUIMBO;2
UNIVERSIDAD CATOLICA DEL MAULE;92;1;CASA CENTRAL;REGION DEL MAULE;TALCA;TALCA;2
UNIVERSIDAD CATOLICA DEL MAULE;92;2;SEDE CURICO;REGION DEL MAULE;CURICO;CURICO;2
UNIVERSIDAD CATOLICA DEL MAULE (* CARRERA EN CONVENIO UARCIS);92;4;SEDE SANTIAGO;REGION METROPOLITANA;SANTIAGO;SANTIAGO;2
UNIVERSIDAD CATOLICA DEL MAULE (* CARRERA EN CONVENIO UARCIS);92;5;SEDE CONCEPCION;REGION DEL BIOBIO;CONCEPCION;CONCEPCION;2
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;93;1;CASA CENTRAL (CONCEPCION);REGION DEL BIOBIO;CONCEPCION;CONCEPCION;5
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;93;2;IT SEDE TALCAHUANO;REGION DEL BIOBIO;CONCEPCION;TALCAHUANO;5
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;93;3;IT SEDE CAÑETE;REGION DEL BIOBIO;ARAUCO;CAÑETE;5
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;93;4;IT SEDE CHILLAN;REGION DE ÑUBLE;DIGUILLIN;CHILLAN;5
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;93;5;IT SEDE LOS ANGELES;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;5
UNIVERSIDAD CATOLICA DE TEMUCO;94;1;CASA CENTRAL (TEMUCO);REGION DE LA ARAUCANIA;CAUTIN;TEMUCO;3
UNIVERSIDAD CATOLICA DE TEMUCO;94;2;CAMPUS SAN FRANCISCO;REGION DE LA ARAUCANIA;CAUTIN;TEMUCO;3
UNIVERSIDAD CATOLICA DE TEMUCO;94;3;CAMPUS NORTE;REGION DE LA ARAUCANIA;CAUTIN;TEMUCO;3
UNIVERSIDAD DE O'HIGGINS;895;1;SEDE RANCAGUA;REGION DEL LIBERTADOR BERNARDO OHIGGINS;CACHAPOAL;RANCAGUA;2
UNIVERSIDAD DE O'HIGGINS;895;2;SEDE SAN FERNANDO;REGION DEL LIBERTADOR BERNARDO OHIGGINS;COLCHAGUA;SAN FERNANDO;2
UNIVERSIDAD DE AYSEN;896;1;CASA CENTRAL;REGION DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;COYHAIQUE;COYHAIQUE;1
IP AGRARIO ADOLFO MATTHEI;99;1;CASA CENTRAL (OSORNO);REGION DE LOS LAGOS;OSORNO;OSORNO;1
IP INACAP;100;10;SEDE PUNTA ARENAS;REGION DE MAGALLANES Y DE LA ANTARTICA CHILENA;MAGALLANES;PUNTA ARENAS;29
IP INACAP;100;13;SEDE MAIPU;REGION METROPOLITANA;SANTIAGO;MAIPU;29
IP INACAP;100;14;SEDE ARICA;REGION DE ARICA Y PARINACOTA;ARICA;ARICA;29
IP INACAP;100;15;SEDE IQUIQUE;REGION DE TARAPACA;IQUIQUE;IQUIQUE;29
IP INACAP;100;16;SEDE COPIAPO;REGION DE ATACAMA;COPIAPO;COPIAPO;29
IP INACAP;100;19;SEDE APOQUINDO;REGION METROPOLITANA;SANTIAGO;LAS CONDES;29
IP INACAP;100;20;SEDE RENCA;REGION METROPOLITANA;SANTIAGO;RENCA;29
IP INACAP;100;21;SEDE PUERTO MONTT;REGION DE LOS LAGOS;LLANQUIHUE;PUERTO MONTT;29
IP INACAP;100;23;SEDE RANCAGUA;REGION DEL LIBERTADOR BERNARDO OHIGGINS;CACHAPOAL;RANCAGUA;29
IP INACAP;100;24;SEDE VALPARAISO;REGION DE VALPARAISO;VALPARAISO;VALPARAISO;29
IP INACAP;100;26;SEDE OSORNO;REGION DE LOS LAGOS;OSORNO;OSORNO;29
IP INACAP;100;28;SEDE COYHAIQUE;REGION DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;COYHAIQUE;COYHAIQUE;29
IP INACAP;100;29;SEDE TALCA;REGION DEL MAULE;TALCA;TALCA;29
IP INACAP;100;30;SEDE LA SERENA;REGION DE COQUIMBO;ELQUI;LA SERENA;29
IP INACAP;100;31;SEDE CHILLAN;REGION DE ÑUBLE;DIGUILLIN;CHILLAN;29
IP INACAP;100;32;SEDE TEMUCO;REGION DE LA ARAUCANIA;CAUTIN;TEMUCO;29
IP INACAP;100;33;SEDE CONCEPCION - TALCAHUANO;REGION DEL BIOBIO;CONCEPCION;TALCAHUANO;29
IP INACAP;100;34;SEDE SANTIAGO CENTRO;REGION METROPOLITANA;SANTIAGO;SANTIAGO;29
IP INACAP;100;35;SEDE CURICO;REGION DEL MAULE;CURICO;CURICO;29
IP INACAP;100;37;SEDE LOS ANGELES;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;29
IP INACAP;100;38;SEDE SANTIAGO SUR;REGION METROPOLITANA;SANTIAGO;MACUL;29
IP INACAP;100;39;SEDE ÑUÑOA;REGION METROPOLITANA;SANTIAGO;ÑUÑOA;29
IP INACAP;100;40;SEDE PUENTE ALTO;REGION METROPOLITANA;CORDILLERA;PUENTE ALTO;29
IP INACAP;100;41;SEDE SAN PEDRO DE LA PAZ;REGION DEL BIOBIO;CONCEPCION;SAN PEDRO DE LA PAZ;29
IP INACAP;100;42;SEDE LA GRANJA;REGION METROPOLITANA;SANTIAGO;LA GRANJA;29
IP INACAP;100;43;SEDE ONLINE;REGION METROPOLITANA;SANTIAGO;VITACURA;29
IP INACAP;100;4;SEDE ANTOFAGASTA;REGION DE ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;29
IP INACAP;100;5;SEDE CALAMA;REGION DE ANTOFAGASTA;EL LOA;CALAMA;29
IP INACAP;100;9;SEDE VALDIVIA;REGION DE LOS RIOS;VALDIVIA;VALDIVIA;29
IP LIBERTADOR DE LOS ANDES;101;1;CASA CENTRAL (LOS ANDES);REGION DE VALPARAISO;LOS ANDES;LOS ANDES;1
IP INSTITUTO DE ESTUDIOS BANCARIOS GUILLERMO SUBERCASEAUX;103;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;SANTIAGO;5
IP INSTITUTO DE ESTUDIOS BANCARIOS GUILLERMO SUBERCASEAUX;103;4;SEDE RANCAGUA;REGION DEL LIBERTADOR BERNARDO OHIGGINS;CACHAPOAL;RANCAGUA;5
IP INSTITUTO DE ESTUDIOS BANCARIOS GUILLERMO SUBERCASEAUX;103;5;SEDE CONCEPCION;REGION DEL BIOBIO;CONCEPCION;CONCEPCION;5
IP INSTITUTO DE ESTUDIOS BANCARIOS GUILLERMO SUBERCASEAUX;103;6;SEDE TEMUCO;REGION DE LA ARAUCANIA;CAUTIN;TEMUCO;5
IP INSTITUTO DE ESTUDIOS BANCARIOS GUILLERMO SUBERCASEAUX;103;8;SEDE VIÑA DEL MAR;REGION DE VALPARAISO;VALPARAISO;VIÑA DEL MAR;5
IP ESCUELA DE CONTADORES AUDITORES DE SANTIAGO;104;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;1
IP PROVIDENCIA;106;3;CASA CENTRAL (SANTIAGO VICUÑA MACKENNA 3030);REGION METROPOLITANA;SANTIAGO;MACUL;3
IP PROVIDENCIA;106;5;SEDE CONCEPCION;REGION DEL BIOBIO;CONCEPCION;CONCEPCION;3
IP PROVIDENCIA;106;6;SEDE VICUÑA MACKENNA (SANTIAGO VICUÑA MACKENNA 380);REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;3
IP CHILENO BRITANICO DE CULTURA;108;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;SANTIAGO;1
IP DUOC UC;111;10;SEDE PLAZA OESTE;REGION METROPOLITANA;SANTIAGO;CERRILLOS;20
IP DUOC UC;111;12;SEDE PUENTE ALTO;REGION METROPOLITANA;CORDILLERA;PUENTE ALTO;20
IP DUOC UC;111;15;SEDE MAIPU;REGION METROPOLITANA;SANTIAGO;MAIPU;20
IP DUOC UC;111;16;SEDE SAN JOAQUIN;REGION METROPOLITANA;SANTIAGO;SAN JOAQUIN;20
IP DUOC UC;111;20;SEDE SAN BERNARDO;REGION METROPOLITANA;MAIPO;SAN BERNARDO;20
IP DUOC UC;111;21;SEDE PLAZA NORTE;REGION METROPOLITANA;SANTIAGO;HUECHURABA;20
IP DUOC UC;111;22;SEDE PADRE ALONSO DE OVALLE;REGION METROPOLITANA;SANTIAGO;SANTIAGO;20
IP DUOC UC;111;23;SEDE MELIPILLA;REGION METROPOLITANA;MELIPILLA;MELIPILLA;20
IP DUOC UC;111;24;CAMPUS ARAUCO;REGION DEL BIOBIO;ARAUCO;ARAUCO;20
IP DUOC UC;111;25;SEDE PUERTO MONTT;REGION DE LOS LAGOS;LLANQUIHUE;PUERTO MONTT;20
IP DUOC UC;111;26;CAMPUS VILLARRICA;REGION DE LA ARAUCANIA;CAUTIN;VILLARRICA;20
IP DUOC UC;111;27;CASA CENTRAL;REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;20
IP DUOC UC;111;28;CAMPUS NACIMIENTO;REGION DEL BIOBIO;BIOBIO;NACIMIENTO;20
IP DUOC UC;111;2;SEDE VALPARAISO;REGION DE VALPARAISO;VALPARAISO;VALPARAISO;20
IP DUOC UC;111;3;SEDE CONCEPCION;REGION DEL BIOBIO;CONCEPCION;CONCEPCION;20
IP DUOC UC;111;4;SEDE VIÑA DEL MAR;REGION DE VALPARAISO;VALPARAISO;VIÑA DEL MAR;20
IP DUOC UC;111;5;SEDE ANTONIO VARAS;REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;20
IP DUOC UC;111;6;SEDE SAN CARLOS DE APOQUINDO;REGION METROPOLITANA;SANTIAGO;LAS CONDES;20
IP DUOC UC;111;7;SEDE ALAMEDA;REGION METROPOLITANA;SANTIAGO;SANTIAGO;20
IP DUOC UC;111;9;SEDE PLAZA VESPUCIO;REGION METROPOLITANA;SANTIAGO;LA FLORIDA;20
IP IPG;113;10;SEDE PANGUIPULLI;REGION DE LOS RIOS;VALDIVIA;PANGUIPULLI;7
IP IPG;113;11;SEDE LA UNION;REGION DE LOS RIOS;DEL RANCO;LA UNION;7
IP IPG;113;12;SEDE MEJILLONES;REGION DE ANTOFAGASTA;ANTOFAGASTA;MEJILLONES;7
IP IPG;113;5;SEDE ARAUCO;REGION DEL BIOBIO;ARAUCO;ARAUCO;7
IP IPG;113;6;SEDE CONCEPCION;REGION DEL BIOBIO;CONCEPCION;CONCEPCION;7
IP IPG;113;7;SEDE PROVIDENCIA;REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;7
IP IPG;113;8;SEDE RANCAGUA;REGION DEL LIBERTADOR BERNARDO OHIGGINS;CACHAPOAL;RANCAGUA;7
IP SANTO TOMAS;116;10;SEDE ANTOFAGASTA;REGION DE ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;21
IP SANTO TOMAS;116;11;SEDE LA SERENA;REGION DE COQUIMBO;ELQUI;LA SERENA;21
IP SANTO TOMAS;116;15;SEDE LOS ANGELES;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;21
IP SANTO TOMAS;116;16;SEDE OSORNO;REGION DE LOS LAGOS;OSORNO;OSORNO;21
IP SANTO TOMAS;116;17;SEDE TEMUCO;REGION DE LA ARAUCANIA;CAUTIN;TEMUCO;21
IP SANTO TOMAS;116;18;SEDE OVALLE;REGION DE COQUIMBO;LIMARI;OVALLE;21
IP SANTO TOMAS;116;19;SEDE CURICO;REGION DEL MAULE;CURICO;CURICO;21
IP SANTO TOMAS;116;25;SEDE RANCAGUA;REGION DEL LIBERTADOR BERNARDO OHIGGINS;CACHAPOAL;RANCAGUA;21
IP SANTO TOMAS;116;28;SEDE PUNTA ARENAS;REGION DE MAGALLANES Y DE LA ANTARTICA CHILENA;MAGALLANES;PUNTA ARENAS;21
IP SANTO TOMAS;116;2;SEDE IQUIQUE;REGION DE TARAPACA;IQUIQUE;IQUIQUE;21
IP SANTO TOMAS;116;30;SEDE COPIAPO;REGION DE ATACAMA;COPIAPO;COPIAPO;21
IP SANTO TOMAS;116;31;SEDE SANTIAGO;REGION METROPOLITANA;SANTIAGO;SANTIAGO;21
IP SANTO TOMAS;116;32;SEDE VALDIVIA;REGION DE LOS RIOS;VALDIVIA;VALDIVIA;21
IP SANTO TOMAS;116;34;SEDE CONCEPCION;REGION DEL BIOBIO;CONCEPCION;CONCEPCION;21
IP SANTO TOMAS;116;36;SEDE CHILLAN;REGION DE ÑUBLE;DIGUILLIN;CHILLAN;21
IP SANTO TOMAS;116;39;SEDE SAN JOAQUIN;REGION METROPOLITANA;SANTIAGO;SAN JOAQUIN;21
IP SANTO TOMAS;116;40;SEDE VIRTUAL;REGION METROPOLITANA;SANTIAGO;SAN JOAQUIN;21
IP SANTO TOMAS;116;4;SEDE VIÑA DEL MAR;REGION DE VALPARAISO;VALPARAISO;VIÑA DEL MAR;21
IP SANTO TOMAS;116;6;SEDE TALCA;REGION DEL MAULE;TALCA;TALCA;21
IP SANTO TOMAS;116;8;SEDE PUERTO MONTT;REGION DE LOS LAGOS;LLANQUIHUE;PUERTO MONTT;21
IP SANTO TOMAS;116;9;SEDE ARICA;REGION DE ARICA Y PARINACOTA;ARICA;ARICA;21
IP IACC;117;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;1
IP DIEGO PORTALES;120;1;CASA CENTRAL (CONCEPCION);REGION DEL BIOBIO;CONCEPCION;CONCEPCION;5
IP DIEGO PORTALES;120;2;SEDE VIÑA DEL MAR;REGION DE VALPARAISO;VALPARAISO;VIÑA DEL MAR;5
IP DIEGO PORTALES;120;3;SEDE CHILLAN;REGION DE ÑUBLE;DIGUILLIN;CHILLAN;5
IP DIEGO PORTALES;120;4;SEDE SANTIAGO - ÑUÑOA;REGION METROPOLITANA;SANTIAGO;ÑUÑOA;5
IP DIEGO PORTALES;120;6;SEDE SANTIAGO - EL BOSQUE;REGION METROPOLITANA;SANTIAGO;EL BOSQUE;5
IP DE CHILE;123;1;SEDE LA SERENA;REGION DE COQUIMBO;ELQUI;LA SERENA;5
IP DE CHILE;123;2;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;SANTIAGO;5
IP DE CHILE;123;3;SEDE RANCAGUA;REGION DEL LIBERTADOR BERNARDO OHIGGINS;CACHAPOAL;RANCAGUA;5
IP DE CHILE;123;4;SEDE SAN JOAQUIN;REGION METROPOLITANA;SANTIAGO;SAN JOAQUIN;5
IP DE CHILE;123;5;SEDE TEMUCO;REGION DE LA ARAUCANIA;CAUTIN;TEMUCO;5
IP ESCUELA MODERNA DE MUSICA;129;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;VITACURA;2
IP ESCUELA MODERNA DE MUSICA;129;2;SEDE VIÑA DEL MAR;REGION DE VALPARAISO;VALPARAISO;VIÑA DEL MAR;2
IP ESUCOMEX;132;2;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;SANTIAGO;3
IP ESUCOMEX;132;3;SEDE PROVIDENCIA;REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;3
IP ESUCOMEX;132;4;SEDE TALCAHUANO;REGION DEL BIOBIO;CONCEPCION;TALCAHUANO;3
IP EATRI;137;1;CASA CENTRAL;REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;1
IP DR. VIRGINIO GOMEZ G.;139;1;SEDE LOS ANGELES;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;3
IP DR. VIRGINIO GOMEZ G.;139;2;SEDE CHILLAN;REGION DE ÑUBLE;DIGUILLIN;CHILLAN;3
IP DR. VIRGINIO GOMEZ G.;139;3;CASA CENTRAL (CONCEPCION);REGION DEL BIOBIO;CONCEPCION;CONCEPCION;3
IP AIEP;143;0;SEDE LOS ANGELES;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;26
IP AIEP;143;10;SEDE CURICO;REGION DEL MAULE;CURICO;CURICO;26
IP AIEP;143;12;SEDE PUERTO MONTT;REGION DE LOS LAGOS;LLANQUIHUE;PUERTO MONTT;26
IP AIEP;143;13;SEDE CONCEPCION;REGION DEL BIOBIO;CONCEPCION;CONCEPCION;26
IP AIEP;143;15;SEDE BARRIO UNIVERSITARIO;REGION METROPOLITANA;SANTIAGO;SANTIAGO;26
IP AIEP;143;17;SEDE LA SERENA;REGION DE COQUIMBO;ELQUI;LA SERENA;26
IP AIEP;143;20;SEDE TEMUCO;REGION DE LA ARAUCANIA;CAUTIN;TEMUCO;26
IP AIEP;143;21;SEDE SAN FELIPE;REGION DE VALPARAISO;SAN FELIPE DE ACONCAGUA;SAN FELIPE;26
IP AIEP;143;22;SEDE TALCA;REGION DEL MAULE;TALCA;TALCA;26
IP AIEP;143;23;SEDE SAN JOAQUIN;REGION METROPOLITANA;SANTIAGO;SAN JOAQUIN;26
IP AIEP;143;24;SEDE VALPARAISO;REGION DE VALPARAISO;VALPARAISO;VALPARAISO;26
IP AIEP;143;25;SEDE OSORNO;REGION DE LOS LAGOS;OSORNO;OSORNO;26
IP AIEP;143;26;SEDE BELLAVISTA;REGION METROPOLITANA;SANTIAGO;SANTIAGO;26
IP AIEP;143;27;SEDE SANTIAGO NORTE;REGION METROPOLITANA;SANTIAGO;CONCHALI;26
IP AIEP;143;28;SEDE ONLINE;REGION METROPOLITANA;SANTIAGO;CONCHALI;26
IP AIEP;143;29;SEDE MAIPU;REGION METROPOLITANA;SANTIAGO;MAIPU;26
IP AIEP;143;2;SEDE ANTOFAGASTA;REGION DE ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;26
IP AIEP;143;30;SEDE SAN BERNARDO;REGION METROPOLITANA;MAIPO;SAN BERNARDO;26
IP AIEP;143;31;SEDE SAN ANTONIO;REGION DE VALPARAISO;SAN ANTONIO;SAN ANTONIO;26
IP AIEP;143;32;SEDE CASTRO;REGION DE LOS LAGOS;CHILOE;CASTRO;26
IP AIEP;143;33;SEDE CHILLAN;REGION DE ÑUBLE;DIGUILLIN;CHILLAN;26
IP AIEP;143;5;SEDE CALAMA;REGION DE ANTOFAGASTA;EL LOA;CALAMA;26
IP AIEP;143;6;SEDE VIÑA DEL MAR;REGION DE VALPARAISO;VALPARAISO;VIÑA DEL MAR;26
IP AIEP;143;7;SEDE PROVIDENCIA;REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;26
IP AIEP;143;8;SEDE SAN FERNANDO;REGION DEL LIBERTADOR BERNARDO OHIGGINS;COLCHAGUA;SAN FERNANDO;26
IP AIEP;143;9;SEDE RANCAGUA;REGION DEL LIBERTADOR BERNARDO OHIGGINS;CACHAPOAL;RANCAGUA;26
IP ARCOS;144;10;SEDE V REGION;REGION DE VALPARAISO;VALPARAISO;VIÑA DEL MAR;2
IP ARCOS;144;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;SANTIAGO;2
IP LATINOAMERICANO DE COMERCIO EXTERIOR - IPLACEX;152;10;SEDE SANTIAGO;REGION METROPOLITANA;SANTIAGO;SANTIAGO;3
IP LATINOAMERICANO DE COMERCIO EXTERIOR - IPLACEX;152;12;SEDE TALCA;REGION DEL MAULE;TALCA;TALCA;3
IP LATINOAMERICANO DE COMERCIO EXTERIOR - IPLACEX;152;9;SEDE COPIAPO;REGION DE ATACAMA;COPIAPO;COPIAPO;3
IP LOS LEONES;155;2;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;SANTIAGO;2
IP LOS LEONES;155;3;SEDE VIÑA DEL MAR;REGION DE VALPARAISO;VALPARAISO;VIÑA DEL MAR;2
IP SAN SEBASTIAN;162;2;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;SANTIAGO;1
IP LOS LAGOS;165;11;SEDE SAN ANTONIO;REGION DE VALPARAISO;SAN ANTONIO;SAN ANTONIO;9
IP LOS LAGOS;165;13;SEDE SAN FERNANDO;REGION DEL LIBERTADOR BERNARDO OHIGGINS;COLCHAGUA;SAN FERNANDO;9
IP LOS LAGOS;165;14;SEDE TALCA;REGION DEL MAULE;TALCA;TALCA;9
IP LOS LAGOS;165;16;SEDE TEMUCO;REGION DE LA ARAUCANIA;CAUTIN;TEMUCO;9
IP LOS LAGOS;165;17;SEDE VALDIVIA;REGION DE LOS RIOS;VALDIVIA;VALDIVIA;9
IP LOS LAGOS;165;18;SEDE COYHAIQUE;REGION DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;COYHAIQUE;COYHAIQUE;9
IP LOS LAGOS;165;4;SEDE RANCAGUA;REGION DEL LIBERTADOR BERNARDO OHIGGINS;CACHAPOAL;RANCAGUA;9
IP LOS LAGOS;165;5;SEDE LOS ANGELES;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;9
IP LOS LAGOS;165;8;SEDE QUILLOTA;REGION DE VALPARAISO;QUILLOTA;QUILLOTA;9
